iter	RMSE
0	0.3330867466
1	0.3226573084
2	0.3135626384
3	0.3059563225
4	0.2992038181
5	0.293146171
6	0.286138775
7	0.2803118629
8	0.2746729746
9	0.2702561166
10	0.265564039
11	0.2623216434
12	0.2590285254
13	0.2554169907
14	0.2523930731
15	0.2494795946
16	0.2473492423
17	0.2443914693
18	0.2420972724
19	0.240491804
20	0.2381309695
21	0.2356618762
22	0.2333329597
23	0.2312442432
24	0.2292191441
25	0.2273672878
26	0.2260987308
27	0.2250307555
28	0.2240067649
29	0.221946017
30	0.2209365616
31	0.2200821466
32	0.2188527681
33	0.2181068898
34	0.2167563617
35	0.2159992648
36	0.214584963
37	0.2135721942
38	0.2130981376
39	0.2115848248
40	0.210153691
41	0.209179475
42	0.2085874936
43	0.2067726667
44	0.2057047421
45	0.2046762446
46	0.2041260295
47	0.2027206561
48	0.2019838783
49	0.2011672559
50	0.2006852668
51	0.1990958589
52	0.1983799658
53	0.1976000244
54	0.1969902107
55	0.1962468818
56	0.1956098145
57	0.195102692
58	0.1939184873
59	0.1926521955
60	0.1918938181
61	0.1915495671
62	0.1897159619
63	0.1890836809
64	0.18816848
65	0.1874183987
66	0.1868919505
67	0.1859333827
68	0.1856103795
69	0.1848408776
70	0.184175446
71	0.1834704275
72	0.1827640648
73	0.1819927144
74	0.1806564727
75	0.179369896
76	0.1786000665
77	0.1783086413
78	0.1778326534
79	0.1769352991
80	0.1755487092
81	0.174750975
82	0.1738699636
83	0.1735980818
84	0.1731060946
85	0.1725903082
86	0.171811709
87	0.1709743267
88	0.1704992932
89	0.1696590238
90	0.169077404
91	0.1680823516
92	0.1675706239
93	0.16687067
94	0.1662351014
95	0.1658337996
96	0.1652718159
97	0.1649162396
98	0.1643162605
99	0.1639110231
100	0.1633165504
101	0.1623595696
102	0.1614975024
103	0.1610428915
104	0.1601855607
105	0.1593407131
106	0.1586312644
107	0.1583168273
108	0.1576570113
109	0.1572109649
110	0.1564552531
111	0.1557950174
112	0.1554246873
113	0.1547951618
114	0.1542160989
115	0.1536070022
116	0.1530669219
117	0.1527740841
118	0.1521009516
119	0.1516059601
120	0.1513210317
121	0.1508036503
122	0.1501650933
123	0.1496655742
124	0.1491253121
125	0.1487822782
126	0.1480274973
127	0.1475302132
128	0.1472288472
129	0.1462614088
130	0.145784315
131	0.1451919228
132	0.1446218888
133	0.143827152
134	0.1432048491
135	0.1428299616
136	0.1422934881
137	0.1415508647
138	0.1413082259
139	0.1408494068
140	0.1405855468
141	0.1397307638
142	0.1391479453
143	0.1387326289
144	0.1385063589
145	0.137749306
146	0.137144832
147	0.1370253724
148	0.1359572835
149	0.135495425
150	0.1349341542
151	0.1343481089
152	0.1339426216
153	0.1335980029
154	0.1328032246
155	0.132356887
156	0.1317713401
157	0.1315186761
158	0.1308925292
159	0.1304946222
160	0.130190661
161	0.1299964684
162	0.1298946637
163	0.1296447796
164	0.1292092248
165	0.1288350061
166	0.1283630221
167	0.1280149853
168	0.1273851108
169	0.1266083541
170	0.1263978095
171	0.1259241612
172	0.1257479049
173	0.1250559674
174	0.1243445393
175	0.1240656717
176	0.1233379463
177	0.1229295208
178	0.1224972171
179	0.1218655419
180	0.1216410246
181	0.1211781221
182	0.1208508562
183	0.1201322988
184	0.1199104184
185	0.1193339132
186	0.1192109951
187	0.1186350482
188	0.1183390648
189	0.1182028367
190	0.117404243
191	0.1171195907
192	0.1168655445
193	0.1166310421
194	0.1160917952
195	0.1157463722
196	0.1150913676
197	0.1144659106
198	0.113967062
199	0.1136393101
200	0.1130318826
201	0.1127428221
202	0.112584238
203	0.1119789585
204	0.1117776193
205	0.1112645131
206	0.1109305199
207	0.1104743958
208	0.1099299901
209	0.1098320232
210	0.1093007422
211	0.1091622801
212	0.1088757089
213	0.1087503189
214	0.1086260384
215	0.1083134613
216	0.1078980284
217	0.1077283267
218	0.1074468344
219	0.1071416397
220	0.1068241887
221	0.1065510112
222	0.106341195
223	0.1061247235
224	0.105946095
225	0.105824727
226	0.1056352414
227	0.1053862856
228	0.1049772577
229	0.1045569566
230	0.1043926214
231	0.1040917085
232	0.1036875376
233	0.1034272465
234	0.1030212035
235	0.1027135084
236	0.1024756367
237	0.1022505419
238	0.1019114026
239	0.1018344937
240	0.1014118858
241	0.1013350165
242	0.1012635926
243	0.1008230489
244	0.1006325
245	0.100189753
246	0.09996636676
247	0.09973993558
248	0.09945901185
249	0.0990316486
